"trainer/global_step","SPT-64 - _step","SPT-64 - _step__MIN","SPT-64 - _step__MAX","SPT-64 - train/loss","SPT-64 - train/loss__MIN","SPT-64 - train/loss__MAX"
"1694","710","710","710","2.47588849067688","2.47588849067688","2.47588849067688"
"1699","713","713","713","2.2479708194732666","2.2479708194732666","2.2479708194732666"
"1704","715","715","715","2.3035221099853516","2.3035221099853516","2.3035221099853516"
"1709","717","717","717","2.1154160499572754","2.1154160499572754","2.1154160499572754"
"1714","719","719","719","2.3579792976379395","2.3579792976379395","2.3579792976379395"
"1719","721","721","721","2.1817188262939453","2.1817188262939453","2.1817188262939453"
"1724","723","723","723","2.3270671367645264","2.3270671367645264","2.3270671367645264"
"1729","725","725","725","2.3606772422790527","2.3606772422790527","2.3606772422790527"
"1734","727","727","727","2.488417387008667","2.488417387008667","2.488417387008667"
"1739","729","729","729","2.372727155685425","2.372727155685425","2.372727155685425"
"1744","731","731","731","2.649498462677002","2.649498462677002","2.649498462677002"
"1749","734","734","734","2.5585408210754395","2.5585408210754395","2.5585408210754395"
"1754","736","736","736","2.2891032695770264","2.2891032695770264","2.2891032695770264"
"1759","738","738","738","2.4870944023132324","2.4870944023132324","2.4870944023132324"
"1764","740","740","740","2.3551857471466064","2.3551857471466064","2.3551857471466064"
"1769","742","742","742","2.4523353576660156","2.4523353576660156","2.4523353576660156"
"1774","744","744","744","2.4750702381134033","2.4750702381134033","2.4750702381134033"
"1779","746","746","746","2.2643589973449707","2.2643589973449707","2.2643589973449707"
"1784","748","748","748","2.2379612922668457","2.2379612922668457","2.2379612922668457"
"1789","750","750","750","2.3280112743377686","2.3280112743377686","2.3280112743377686"
"1794","752","752","752","2.3140132427215576","2.3140132427215576","2.3140132427215576"
"1799","755","755","755","2.461968421936035","2.461968421936035","2.461968421936035"
"1804","757","757","757","2.6420140266418457","2.6420140266418457","2.6420140266418457"
"1809","759","759","759","2.6443448066711426","2.6443448066711426","2.6443448066711426"
"1814","761","761","761","2.611199378967285","2.611199378967285","2.611199378967285"
"1819","763","763","763","2.5305347442626953","2.5305347442626953","2.5305347442626953"
"1824","765","765","765","2.558403253555298","2.558403253555298","2.558403253555298"
"1829","767","767","767","2.034259080886841","2.034259080886841","2.034259080886841"
"1834","769","769","769","2.3207688331604004","2.3207688331604004","2.3207688331604004"
"1839","771","771","771","2.048750877380371","2.048750877380371","2.048750877380371"
"1844","773","773","773","2.2151055335998535","2.2151055335998535","2.2151055335998535"
"1849","776","776","776","2.1525075435638428","2.1525075435638428","2.1525075435638428"
"1854","778","778","778","2.36395263671875","2.36395263671875","2.36395263671875"
"1859","780","780","780","2.3027701377868652","2.3027701377868652","2.3027701377868652"
"1864","782","782","782","2.1297857761383057","2.1297857761383057","2.1297857761383057"
"1869","784","784","784","2.0969724655151367","2.0969724655151367","2.0969724655151367"
"1874","786","786","786","2.1011252403259277","2.1011252403259277","2.1011252403259277"
"1879","788","788","788","2.698615550994873","2.698615550994873","2.698615550994873"
