"Iter","s3dis/semseg-pt-v1-0-base - _step","s3dis/semseg-pt-v1-0-base - _step__MIN","s3dis/semseg-pt-v1-0-base - _step__MAX","s3dis/semseg-pt-v1-0-base - train_batch/loss","s3dis/semseg-pt-v1-0-base - train_batch/loss__MIN","s3dis/semseg-pt-v1-0-base - train_batch/loss__MAX"
"293","293","293","293","1.225977897644043","1.225977897644043","1.225977897644043"
"294","294","294","294","0.5968467593193054","0.5968467593193054","0.5968467593193054"
"295","295","295","295","0.8106734156608582","0.8106734156608582","0.8106734156608582"
"296","296","296","296","0.6838087439537048","0.6838087439537048","0.6838087439537048"
"297","297","297","297","0.5560256242752075","0.5560256242752075","0.5560256242752075"
"298","298","298","298","0.9066916108131409","0.9066916108131409","0.9066916108131409"
"299","299","299","299","0.9299968481063843","0.9299968481063843","0.9299968481063843"
"300","300","300","300","0.9254223704338074","0.9254223704338074","0.9254223704338074"
"301","301","301","301","0.700538694858551","0.700538694858551","0.700538694858551"
"302","302","302","302","0.6602430939674377","0.6602430939674377","0.6602430939674377"
"303","303","303","303","0.6575444936752319","0.6575444936752319","0.6575444936752319"
"304","304","304","304","0.7284243702888489","0.7284243702888489","0.7284243702888489"
"305","305","305","305","0.44850245118141174","0.44850245118141174","0.44850245118141174"
"306","306","306","306","0.6657652258872986","0.6657652258872986","0.6657652258872986"
"307","307","307","307","0.5387595891952515","0.5387595891952515","0.5387595891952515"
"308","308","308","308","0.6788008809089661","0.6788008809089661","0.6788008809089661"
"309","309","309","309","0.9238335490226746","0.9238335490226746","0.9238335490226746"
"310","310","310","310","1.2217687368392944","1.2217687368392944","1.2217687368392944"
"311","311","311","311","1.0291844606399536","1.0291844606399536","1.0291844606399536"
"312","312","312","312","0.4947372376918793","0.4947372376918793","0.4947372376918793"
"313","313","313","313","0.9062150120735168","0.9062150120735168","0.9062150120735168"
"314","314","314","314","0.6246649622917175","0.6246649622917175","0.6246649622917175"
"315","315","315","315","0.8930762410163879","0.8930762410163879","0.8930762410163879"
"316","316","316","316","0.4790430963039398","0.4790430963039398","0.4790430963039398"
"317","317","317","317","0.5995471477508545","0.5995471477508545","0.5995471477508545"
"318","318","318","318","0.8544700741767883","0.8544700741767883","0.8544700741767883"
"319","319","319","319","0.6574395298957825","0.6574395298957825","0.6574395298957825"
"320","320","320","320","0.7440566420555115","0.7440566420555115","0.7440566420555115"
"321","321","321","321","0.6359107494354248","0.6359107494354248","0.6359107494354248"
"322","322","322","322","0.6300972104072571","0.6300972104072571","0.6300972104072571"
"323","323","323","323","0.7435564398765564","0.7435564398765564","0.7435564398765564"
"324","324","324","324","0.5685374140739441","0.5685374140739441","0.5685374140739441"
"325","325","325","325","0.6762802004814148","0.6762802004814148","0.6762802004814148"
"326","326","326","326","0.7192825675010681","0.7192825675010681","0.7192825675010681"
"327","327","327","327","0.5366488695144653","0.5366488695144653","0.5366488695144653"
"328","328","328","328","0.480954110622406","0.480954110622406","0.480954110622406"
"329","329","329","329","0.594990074634552","0.594990074634552","0.594990074634552"
"330","330","330","330","0.749487578868866","0.749487578868866","0.749487578868866"
"331","331","331","331","0.7071648836135864","0.7071648836135864","0.7071648836135864"
"332","332","332","332","0.5390461087226868","0.5390461087226868","0.5390461087226868"
"333","333","333","333","0.5561378598213196","0.5561378598213196","0.5561378598213196"
"334","334","334","334","0.6654602289199829","0.6654602289199829","0.6654602289199829"
"335","335","335","335","0.697731614112854","0.697731614112854","0.697731614112854"
"336","336","336","336","0.49546384811401367","0.49546384811401367","0.49546384811401367"
"337","337","337","337","0.8119441270828247","0.8119441270828247","0.8119441270828247"
"338","338","338","338","0.8936184048652649","0.8936184048652649","0.8936184048652649"
"339","339","339","339","0.7251660823822021","0.7251660823822021","0.7251660823822021"
"340","340","340","340","0.4469025731086731","0.4469025731086731","0.4469025731086731"
"341","341","341","341","0.5972316861152649","0.5972316861152649","0.5972316861152649"
"342","342","342","342","0.4086034893989563","0.4086034893989563","0.4086034893989563"
"343","343","343","343","0.47693467140197754","0.47693467140197754","0.47693467140197754"
"344","344","344","344","0.6305599212646484","0.6305599212646484","0.6305599212646484"
"345","345","345","345","0.5517724752426147","0.5517724752426147","0.5517724752426147"
"346","346","346","346","0.7869116067886353","0.7869116067886353","0.7869116067886353"
"347","347","347","347","0.7118115425109863","0.7118115425109863","0.7118115425109863"
"348","348","348","348","0.48810967803001404","0.48810967803001404","0.48810967803001404"
"349","349","349","349","0.8288384675979614","0.8288384675979614","0.8288384675979614"
"350","350","350","350","0.7850809693336487","0.7850809693336487","0.7850809693336487"
"351","351","351","351","0.7249707579612732","0.7249707579612732","0.7249707579612732"
